cod_loc,id_prov,id_departamento,observaciones,categoria,subcategoria,provincia,departamento,localidad,nombre,domicilio,piso,CP,cod_area,telefono,mail,web,informacion,latitud,longitud,TipoLatitudLongitud,actividad_especifica,denominacion_especifica,fuente,tipo_gestion,inicio_act,capacidad,ano_actualizacion
06861010,06,06861,,Salas de Teatro,,Buenos Aires,Vicente Lopez,Vicente Lopez,Alparamis,Av. Del Libertador 2229,,1638,s/d,s/d,s/d,www.alparamis.com.ar,,-34.51051300,-58.47802900,Precisa,,,Red de Espacios Culturales Vicente LÃ³pez,Privado,0,,2019
06861010,06,06861,,Salas de Teatro,,Buenos Aires,Vicente Lopez,Vicente Lopez,Complejo Cultural Comunicanto,Bolivia 1590,,1406,s/d,s/d,s/d,www.comunicanto.com.ar/teatro,,-34.53743370,-58.51288690,Precisa,,,Red de Espacios Culturales Vicente LÃ³pez,Privado,0,,2019
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La FÃ¡brica,Acevedo 768,s/d,s/d,11,47762346,lafabricaespaciodearte@gmail.com,s/d,s/d,-34.59540311,-58.43663057,Precisa,,s/d,Alternativa Teatral / Relevamiento 2017,Privado,0,0,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Arlequino,Adolfo Alsina 1484,s/d,1088,11,43827775,teatro_arlequino@yahoo.com.ar,s/d,s/d,-34.61115000,-58.38723800,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,0,200,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Teatro de la Fabula,AgÃ¼ero  444,Subsuelo,1171,11,48626439,teatrodelafabula@gmail.com ,s/d,A la italiana,-34.60469500,-58.41190700,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,1965,100,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Espacio Aguirre. Teatro y Escuela de Clown,Aguirre 1270 ,P.B.,1414,11,48541905,produccion@espacioaguirre.com.ar,www.espacioaguirre.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular) - Capacidad sala 2: 35 personas; capacidad sala 3: 25 personas.",-34.59079200,-58.44209600,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2000,90,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Cine Teatro  Brown ,Almirante Brown. Av. 1375,P.B.,1159,11,43023284,teatrobrownoficial@gmail.com,s/d,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.63675100,-58.35803100,Precisa,,s/d,Proteatro 2017 / Relevamiento 2017,Privado,2008,250,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,El Brio Teatro,Alvarez Thomas. Av. 1582,s/d,s/d,s/d,s/d,elbrioteatro@gmail.com ,s/d,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.57877000,-58.46425000,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,0,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Machado Teatro,Antonio Machado 617,P.B.,1405,11,49824922,machado617@gmail.com,www.machadoteatro.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.60641000,-58.44050000,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2011,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Teatro Ganesha,Av.  Tte. Gral. Donato Ãlvarez 524,,1406,s/d,s/d,teatroganesha@gmail.com,facebook.com/teatroganesha/,,-34.61994010,-58.45724990,Precisa,"Teatro,clases y talleres",,Plan Podesta 2020 / Relevamiento SINCA,Privado,,,2020
